KellyLux,20233071,"b""It's a great day to be going to California...? https://t.co/LYjS2CYeqm""",2018-02-27 12:06:53
mariothedj,20388919,b'| ROCKET ? MAN | The early bird...gets the direct flight ?-&gt;LAS. \n?\n?\n?\n#everysecondcounts? https://t.co/RyCXtTuCPj',2018-02-27 10:54:44
rascality,18244350,b'sup Boston I?m home',2018-02-27 05:19:15
FatmaAlSaleh_,356489689,"b'Home sweet home?? (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/FxwG4pgD9q'",2018-02-27 05:13:48
Z100Wave,89118397,b'And back to this cash',2018-02-27 03:45:42
Shenandoah09,489435576,b'BA214 BOS - LHR - BA214 from Boston to London https://t.co/n6tKF8ZJ0F',2018-02-27 02:17:40
DjStenny,17197207,"b""I'm at @BostonLogan International Airport (BOS) in Boston, MA https://t.co/OABn9ZNySC""",2018-02-27 01:54:10
EuryDeLosSanto,635921924,"b'Homaaa (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/GBBLwl5el0'",2018-02-27 01:51:00
Shenandoah09,489435576,b'@AeryKitty thanks for meeting last night!',2018-02-27 01:31:55
Shenandoah09,489435576,b'@Corezy @AeryKitty @nicnak044 thanks to you all!',2018-02-27 01:31:32
Shenandoah09,489435576,b'At @bostonlogan heading home after a wonderful @Anthro_NE. Thanks to all who made it extra special! &lt;3 &lt;3 #ANE2018 https://t.co/DgybWl3Lfz',2018-02-27 01:24:23
ADesertHare,132195306,b'@RedRookShep @dmuth Silly pupper. You already have a vest! Let the doggos without vests get them first.',2018-02-27 00:45:02
ADesertHare,132195306,b'@AoLun8 I?m pretty sure a boat would have been a better investment.  Never heard of any mass migration to it.',2018-02-27 00:36:28
rifkafox,14155124,b'Finally moving.',2018-02-27 00:36:18
ADesertHare,132195306,b'@BorderDaCougah I didn?t give you a hug at #ANE2018 did I. \n\nBad bunny. \n\n(I should be punished. Wink.)',2018-02-27 00:33:14
ADesertHare,132195306,"b'We didn?t experience any issues (other than a non-con attendee going nuts at 3:30am) but if you did, feedback is a? https://t.co/qIoH4QJzvB'",2018-02-27 00:29:45
ADesertHare,132195306,b'You know what would be nice? If this airplane would take off.',2018-02-27 00:28:04
_TheHeatherShow,58783037,b'Boston was definitely good to me ?? https://t.co/WdWGk3kjb0',2018-02-26 23:23:37
Shenandoah09,489435576,b'Just at logan airport now with @rahnekallon :3 so many sad feels going home :3',2018-02-26 22:49:57
BrandonLeder,457854121,b'Drinking a Wahlbrewski by @harpoonbrewery @ Wahlburgers ? https://t.co/vjezGzKvZ9',2018-02-26 22:38:48
BemaniCub,324708051,"b'Been real #ANE2018, til next time :3 (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/InMEnCCFE0'",2018-02-26 22:23:17
adjah_l,279573139,"b""I'm at @BostonLogan International Airport (BOS) in Boston, MA https://t.co/r8K0pm9y61""",2018-02-26 22:09:35
Cajuntagious,148836541,"b'ANE is over :( (@ Boston Logan International Airport (BOS) in Boston, MA w/ @bemanicub @tendajithelion) https://t.co/vEa3N500zC'",2018-02-26 21:45:57
BankSmartKATE,3221418033,b'Spotted @BostonLogan - a fabric graphic from @VisitMetroWest #avidialife #visitmetrowest https://t.co/r4R8UN6JxZ',2018-02-26 21:44:06
drewseeley,30347257,b'... or I could watch a bunch of @realdonaldtrump clips. But this is far more coherent.? https://t.co/w1SLG3uM3c',2018-02-26 21:42:39
phoenixfire2912,279328072,"b'Hello Boston! (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/TEd0PHKsdB'",2018-02-26 20:30:52
UrbisRomae,608597472,b'Drinking a Resin by @sixpoint at @bostonlogan ? https://t.co/NqiZXBUm4o #photo',2018-02-26 20:28:03
drewseeley,30347257,"b""Thx to all the incredible students at Maynard High School!! What an inspiring day. Y'all have? https://t.co/oBqcyPnWDL""",2018-02-26 19:59:44
marcialg76,19146140,b'Boston Logan Airport. @ Boston Logan International Airport https://t.co/6eO28iySl4',2018-02-26 19:40:26
tamarakattack,703360063944003584,b'Ready to head to LA for another day before headed home. Thank you Boston for the hospitality and a good ol time https://t.co/m9Wgumyw1v',2018-02-26 19:29:21
CPGRainmaker,2330140625,"b""Let's go (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/pIQooySzj1""",2018-02-26 17:40:33
Diamondfly,25278013,"b'Here I go day 1 of 25 I think #crushingit (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/9MPcbVa75T'",2018-02-26 17:07:51
Edouard_elrich,35900140,b'Current soundtrack\n\nhttps://t.co/9YdPByKppt',2018-02-26 16:40:29
Gomzey51,347975631,b'Wheres the Wifi Logan',2018-02-26 16:36:45
lupinesilver,26198655,"b""I'm at @BostonLogan International Airport (BOS) in Boston, MA w/ @tontig_fox @garththewolf https://t.co/5wd5fJNgvk""",2018-02-26 15:16:18
Falvitus,38057578,"b'OKC may have landed themselves an NBA team, but they have directly flights to almost nowhere. Long day ahead. https://t.co/XY11OL0XYD'",2018-02-26 14:17:22
EfWord,55583019,b'Quest sales kickoff. Here we go.',2018-02-26 13:24:12
TheDarrenBrown,25402500,b'Pre-flight take-off ... ???????\n?????????????????\n#saytwowords #earlymorning #riseandgrind? https://t.co/3c7xxNPgAM',2018-02-26 12:53:46
PatrickBGall,442443737,"b""I'm at @BostonLogan International Airport (BOS) in Boston, MA https://t.co/LqAEssD0re""",2018-02-26 12:40:37
Artie_P,33176654,"b'Southwest flight 404: BOS??BWI (@ Gate A21 in Boston, MA) https://t.co/megoV4XRtl'",2018-02-26 12:39:19
UKMelia,7743602,"b'Goodbye Massachusetts. I love ya! (@ Gate B28 in Boston, MA) https://t.co/ZT0i2krAkK https://t.co/McRAi9vi7Z'",2018-02-26 11:46:46
rje7,1270851,"b'PDX bound...also left my headphones! Doh!!!!! (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/NbN6m6qHIC'",2018-02-26 09:46:10
jamuraa,1531231,"b'Hearing back to home. (at @BostonLogan International Airport (BOS) in Boston, MA) https://t.co/0IHTxsALSg'",2018-02-26 01:56:43
SalmonSportsGuy,52765728,b'It?s still here @ Boston Logan International Airport https://t.co/Vy0dOJWVMn',2018-02-26 01:56:39
AlphaScout1,1064837102,"b'Taking off, Atlanta Bound! (@ Gate C17 in Boston, MA) https://t.co/ipV7Tq5mgp'",2018-02-26 01:37:22
AlphaScout1,1064837102,"b'Until the next time, stay cool Boston! This southern Boi is headed home x3 #ANE2018 https://t.co/80J59DeJ37'",2018-02-26 01:26:26
