jinzilla20,6477252,b'Things *always* get crazy at The Midway! cc @RedRedRockit @Sidewalk_Driver',2018-02-24 03:39:22
wild380,216906805,"b'Best convo Eva ? ? and ? ????? @ Jamaica Plain, Massachusetts https://t.co/a9FCoekkkv'",2018-02-24 00:44:39
wild380,216906805,b'My local ? spot. ???? #BostonKid #JP #617 @ Turtle Swamp Brewing https://t.co/SZB8ivUSqI',2018-02-24 00:42:09
MarleneBoyette,19899150,"b'Mood: Black, Beautiful &amp; Absolutely Unbothered. ???? \n\n#happyfriday #postworkout? https://t.co/VPcv3GpmJt'",2018-02-23 21:00:18
MarleneBoyette,19899150,b'Enjoyed a delicious chai latte and an even more delicious conversation today. SO good to spend? https://t.co/mdaAeLkl3v',2018-02-23 19:35:30
AMBlade,25948882,b'Just posted a photo @ Forest Hills (MBTA station) https://t.co/Ak83CGqBAy',2018-02-23 05:07:36
AMBlade,25948882,b'Just posted a photo @ Forest Hills (MBTA station) https://t.co/qa6J4G1isi',2018-02-23 05:06:29
AMBlade,25948882,b'Just posted a photo @ Forest Hills (MBTA station) https://t.co/JjheKxAca2',2018-02-23 05:05:46
AMBlade,25948882,b'12pm Until 5pm @ Forest Hills (MBTA station) https://t.co/AcpuySGz3N',2018-02-23 04:50:03
AMBlade,25948882,b'12 until 5 @ Forest Hills (MBTA station) https://t.co/XKF2AboE2a',2018-02-23 04:48:23
AMBlade,25948882,b'Tomorrow We Open 12 til 5 @ Forest Hills (MBTA station) https://t.co/f6iTY6IkSs',2018-02-23 04:46:33
