JackieNBCBoston,1618554451,"b'@CapeAnnWeather @Met_CindyFitz Good morning, @CapeAnnWeather!  Beautiful start to Tuesday, right?!'",2018-02-27 11:22:49
Mulder_its_me_x,955190937910734848,b'Today I adulted. I got the CVS app so I can automatically do my refills for my adult acid reflux. #25isthenew50',2018-02-27 04:57:30
Charbinger,28490256,"b""February 26 #fmspad: need/want. As an ABC, I don't *need* to observe any of the cultural? https://t.co/XpsIOHZHoW""",2018-02-27 03:36:58
TotalTrafficBOS,249393984,"b""Accident, two lanes blocked in #Boston on Rt 93 NB at O'Neill Tunl #traffic https://t.co/AoTr5OKtFq""",2018-02-27 03:19:58
JoelBPhoto,1244209003,"b'Fun morning with the caughtuppodcast ladies, @HotelFoxtrot and @maureencaught @ Joel Benjamin? https://t.co/u2A3jWAcXD'",2018-02-26 23:44:29
gianarosa,38449185,b'Feeling inspired today?? \n?\n A late post from Boston over the weekend ? @ Cinquecento https://t.co/vlbihDsWH5',2018-02-26 22:16:06
DJCASTANEDA,30542938,b'Julians first brunch... he?s such a stud!! lincolnsouthbos w my #squad @ Lincoln Tavern and? https://t.co/27bTXiKtwZ',2018-02-26 21:47:12
karenmcfeaters,2809332490,b'Day 1 of #pug #petportrait #painting. Tucker and Toby. #pugs #dogart #dogs ? #art #acrylic #commission #16x16? https://t.co/uyPHepxEOA',2018-02-26 20:21:03
Moomoomoo1,23379347,b'god dammit @weekapaug986 https://t.co/YXdBiOlV9P',2018-02-26 19:59:11
Moomoomoo1,23379347,"b""ok guess I'm going to this fest""",2018-02-26 19:44:02
Moomoomoo1,23379347,"b'@JakeSherman @BresPolitico @joshgerstein only if it was a democrat, jake. surely you know this by now'",2018-02-26 19:27:56
BJONX3,55154608,"b""I'm at @sweetgreen in Boston, MA https://t.co/iKJoPl4CUt""",2018-02-26 19:19:26
c_king9,243304769,b'*New Rental* #SouthBoston one bedroom #apartment available April 1. Direct message for more? https://t.co/XMVGc3BOHx',2018-02-26 19:14:37
speakotosico,57749398,"b""I'm at Whole Foods Market - @wfm_southend in Boston, MA https://t.co/OldTK2VJXT""",2018-02-26 19:10:41
thatirishkid617,148781711,"b""So much #AVB! Lol. Think it's time to make some edibles? Hahaha. Who's in? ? Love the #PaxLife ?? https://t.co/FaELUSKqcP""",2018-02-26 19:04:00
Moomoomoo1,23379347,b'i love having a single piece of bread for lunch',2018-02-26 18:51:32
AshleyLSullivan,42999911,b'Happy Birthday Drew ? Nothing has made me happier than seeing you as? https://t.co/jd1RZpvz8o',2018-02-26 17:31:37
Moomoomoo1,23379347,b'@dasharez0ne Ed Balls',2018-02-26 16:21:30
MasEnLaVida,572787672,b'@dvsndvsn you were amazing and I?m gonna continue being your #1 fan ??? https://t.co/bKVJjaM8ST',2018-02-26 16:05:44
adamfaja,21682678,"b'2.25.18 Happy Year of the Dog ? @ Chinatown, Boston https://t.co/r6m8y43fDY'",2018-02-26 14:44:35
ianmcorbin1,4788143721,"b'Some fiery detail from @bryanchristie His work is a master class in rehumanizing, re-embodying? https://t.co/Irdz6KyaIB'",2018-02-26 14:35:49
speakotosico,57749398,"b""I'm at MMB in Boston, MA https://t.co/v9KKifa9bH""",2018-02-26 14:12:19
sienainkblock,3226035089,b'We are getting so very close...\n\n#sienainkblock #sienaboston #inkblockboston #inkblockliving? https://t.co/2ktzRCz53q',2018-02-26 13:39:26
Guaroaandujar,145942927,"b'Cuando tengas la oportunidad de de expresar el cari?o y el amor en esos momentos especiales, y? https://t.co/z9qXfU1vtW'",2018-02-26 12:51:33
ChristopherDied,52412239,b'My Favorite Girl. Sofi. @ Bar Mezzana https://t.co/hIiYIrtfD5',2018-02-26 02:44:28
ChristopherDied,52412239,b'Bar Mezzana. @olivesandgrace @freshiega heatherklynch @colinclynch @ Bar Mezzana https://t.co/qP9UvP4awn',2018-02-26 02:43:38
TotalTrafficBOS,249393984,b'Accident in #Boston on Rt 93 NB at EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq',2018-02-26 00:46:43
letsgomurphys,54361590,b'Looks like Gunny isn?t too thrilled for his photo shoot. #GunnyGeorge #SadPuppy? https://t.co/XhMFFCgjfS',2018-02-25 23:30:26
juiceboxbos,2819838009,b'Thrilled to renew our #commitment this week to @1percentftp in 2018 #alltogether #fortheplanet?? https://t.co/SqcqUdoc23',2018-02-25 23:28:28
Charbinger,28490256,"b""February 25 #fmspad: my face. Pretty much my face when it's raining &amp; I have char siu bao to? https://t.co/C3rx8tJ5PN""",2018-02-25 22:28:43
MorganaStaba,498321190,b'only one word for state patty?s weekend: sheeesh @ ZooTed Ink https://t.co/kz3et2HPwO',2018-02-25 21:55:08
TotalTrafficBOS,249393984,"b""Accident, right lane blocked in #Boston on Rt 93 SB at O'Neill Tunl #traffic https://t.co/AoTr5OKtFq""",2018-02-25 21:55:00
TotalTrafficBOS,249393984,b'Accident in #SouthBoston on Mass Pike EB after EX 25-24 #traffic https://t.co/AoTr5OKtFq',2018-02-25 21:19:26
TotalTrafficBOS,249393984,"b'Accident, left lane blocked in #Boston on Rt 93 SB near EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq'",2018-02-25 20:52:13
TotalTrafficBOS,249393984,"b""Accident, center lane blocked in #Boston on Rt 93 NB at O'Neill Tunl #traffic https://t.co/AoTr5OKtFq""",2018-02-25 20:41:33
TotalTrafficBOS,249393984,"b'Accident, left lane blocked on Rt 93 SB near EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq'",2018-02-25 20:35:46
errowolf,173637770,"b'Goodbye, sanity~ https://t.co/Bb57wocMSr'",2018-02-25 20:28:28
ArtistsCrossing,2596874023,"b""Fascinating seeing the artists' working studios!  #loom #weavers #fineart #finecraft? https://t.co/TprQsZii1k""",2018-02-25 20:11:18
sarasgraham,30322607,"b'#spincity (at @The_Handle_Bar Indoor Cycling Studio in Boston, MA) https://t.co/LrcJY1HTxz'",2018-02-25 19:25:29
jgmahoney,16502535,b'Post dance #Chinatown #Boston https://t.co/pDcYmbwgFn',2018-02-25 18:57:20
AshleyElizabeth,7305322,"b""I haven't had coffee, it's pouring out, and one of my favorite characters on #TheWalkingDead is? https://t.co/tktefLRqVy""",2018-02-25 18:41:18
moonshine152,2887181013,"b'Happy 3 month birthday, River!!!!! ?????? @ Moonshine 152 https://t.co/ntY9lJFGtI'",2018-02-25 18:17:04
ChristopherDied,52412239,b'M+C. With My Katie. @ Myers+Chang https://t.co/YRk8GT6U03',2018-02-25 18:03:08
southstreetdine,21291512,b'#yearofthedog peace prosperity @southstreetdine #boston #24/7 @ South Street Diner https://t.co/5thz7jACDI',2018-02-25 16:47:34
apdolan,73442267,"b'Yay Maggi! ? (@ Turnstyle Cycle - @turnstyleboston in Boston, MA) https://t.co/Si9JKZUpSz'",2018-02-25 16:36:14
sunshine_76_,102436884,b'So happy we decided to #brunch. I love it here. #southend #boston #gaslight? https://t.co/AexIAftPGR',2018-02-25 16:33:07
aaroni,11758542,b'@adamconnor @WIADBOS @mbloomstein @a_chandler @danachis @eduardoortiz @feldesignal @cwodtke @uXbd Thank you all for? https://t.co/nijGpJyVYl',2018-02-25 16:23:23
aaroni,11758542,b'Thank you @uXbd for all of your effort and dedication to @WIADBOS. Get yourself some well earned rest my friend ?',2018-02-25 16:22:42
aaroni,11758542,b'Thank you for organizing such a great event! https://t.co/GPaiD3NXu9',2018-02-25 16:20:56
TotalTrafficBOS,249393984,"b'Disabled vehicle, right lane blocked on Rt 93 SB at EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq'",2018-02-25 15:54:15
