LegiScanMA,104723605,b'H3942 [Passed] Relative to the retirement benefits of certain employees of the city of Chicopee https://t.co/QhZkiez5Q8',2018-02-27 08:06:03
SIN_Apparel,816074214105083904,"b'We ain?t in the same class, you algebra, we?re calculus. @ Chinatown Gate https://t.co/ulVuLpYSrP'",2018-02-27 07:01:51
andreinyc,14110509,"b'Prolonging the birthday magic with oysters, lobsters and fave? https://t.co/TWnvwWoehh'",2018-02-27 05:31:00
djDAVVIDx,237513771,"b'?I know sometimes,\nI lose my mind.\nI live on dreams\nThat aren?t so sturdy.? ? w: Royale https://t.co/QLidYr673W'",2018-02-27 05:25:56
Mulder_its_me_x,955190937910734848,b'Today I adulted. I got the CVS app so I can automatically do my refills for my adult acid reflux. #25isthenew50',2018-02-27 04:57:30
Robyn_Mowatt,37468596,"b'I met God, she?s black. @ Royale https://t.co/MtHjxFfT6o'",2018-02-27 04:31:38
primadonnagvrl,201465466,b'seeing @kelelam tonight really renewed my soul ?? https://t.co/o4bdKgRpNs',2018-02-27 04:20:46
WeirdGuyAkim,167921627,"b'""Ridin with my n*ggas, cuz they understand me"" - PND https://t.co/eAPEgcysn1'",2018-02-27 03:49:33
Charbinger,28490256,"b""February 26 #fmspad: need/want. As an ABC, I don't *need* to observe any of the cultural? https://t.co/XpsIOHZHoW""",2018-02-27 03:36:58
HaikunHe,844700490,"b'Not quite there yet, but hey, Happy Lantern Festival! https://t.co/amsq0tecLy'",2018-02-27 03:31:44
Fitzness,18175406,b'Easiest way to do the @b_a_a_ finish line! Super fun legalseafoods dinner with weirickchad .? https://t.co/bQr3UcNnrW',2018-02-27 03:28:18
nivrity_das,3188043586,b'My city surely needs more graffiti like this!! ???????\n..\n..\nAlso don?t forget to check the? https://t.co/Sup97QAudn',2018-02-27 03:14:49
ErinOfBoston,20351179,"b'The spot.... (@ OAK Long Bar + Kitchen - @oaklbk in Boston, MA) https://t.co/u7IloPCHjp'",2018-02-27 02:58:53
SKankaansyrja,251676190,"b""I'm at Lolita Cocina &amp; Tequila Bar - @lolitaboston in Boston, MA https://t.co/Hr1qJxa2ty""",2018-02-27 02:36:18
LegiScanMA,104723605,"b'H4098 [Engross] Resolve reviving and continuing the special commission studying cutting, welding and hot work pro... https://t.co/4n5Pw5JklA'",2018-02-27 02:36:04
ernmander,15929575,b'Magical @ Boston Common https://t.co/yZdNVf8h2J',2018-02-27 02:27:10
MavenTattler,562968333,"b'Outstanding visit @DorettaBoston w @jacseamit, must return to explore the menu more deeply. https://t.co/4iPeRRpppe'",2018-02-27 02:25:40
DarthRiatch,633702423,b'Hello to super cool #actress @anyataylorjoy tonight after screening her new film #Thoroughbreds? https://t.co/EPmLkMd85S',2018-02-27 02:19:51
89tailormade,346349926,"b'Q&amp;A with ?Thoroughbreds? director and one of the stars, Anya Taylor-Joy! Love advanced screenings. :)? https://t.co/V9Mxerk3mG'",2018-02-27 02:16:31
KyleWKerr,6369532,b'Got to witness a beautiful wedding this weekend! Congrats Jess &amp; AJ!! @ Boston Public Library https://t.co/EYsPaPdDC2',2018-02-27 02:07:19
JuliaHeleena,40556147,b'? #day3 #bostonsistertrip @ Freedom Trail https://t.co/9QE9ueUmrf',2018-02-27 02:06:31
erwinchuk,14517751,"b'Great to meet Risa Puno and ""Year of the Dog"" public art at Chinatown Park! Meaningful having grown up making weeke? https://t.co/Fr12JRCi9Z'",2018-02-27 01:31:27
ernmander,15929575,b'Shiny @ Boston Common https://t.co/TSb7TB5RsY',2018-02-27 01:28:07
LegiScanMA,104723605,b'H4087 [Passed] Relative to town manager in the town of Ipswich https://t.co/9jGaf6D3fJ',2018-02-27 01:26:07
AriesErin,55731423,"b""Y'all i did It! First time working out in years and I made it through my very first class at @BarrysBootcamp? https://t.co/Jdt1TmIj5g""",2018-02-27 01:17:47
MiriamSaidWHAT,125483593,b'? @ Royale https://t.co/eu4VB1myBb',2018-02-27 01:13:23
AaLorenzo11,562385425,b'DVSN concert last night? #OVO @ Royale https://t.co/D9wHP0qRAB',2018-02-27 00:51:50
aka_XN,100245912,"b'I may or may not be having a *rare* good beard night.\nIt?s probably going to be gone soon, so I? https://t.co/C73puhK3QH'",2018-02-27 00:45:49
tinygIoom,3066584098,b'true life: my boyfriend doesn?t listen to me https://t.co/5J4UGKAKG3',2018-02-26 23:57:42
MeggieBATC,21820170,b'Reverse ab wheels. Because basic plank work is boring. ? @ Equinox Sports Club Boston https://t.co/4hLPxu0a0d',2018-02-26 23:51:18
JJAnaya,123627846,b'Rehearsal dinner glam on this beautiful\nBridesmaid! ??? @ Four Seasons Hotel Boston https://t.co/YUUS1RES8A',2018-02-26 23:45:24
bowloftripe,28725801,b'Awesome cooking class tonight @dorettaboston #dorettaboston @ Doretta Taverna &amp; Raw Bar https://t.co/ztMLRY8nwf',2018-02-26 23:45:02
lostinlaliland,22042730,b'Birthday boy?s is surprising NOT the one on the right. @banyanboston? https://t.co/xcshehh5Bg',2018-02-26 23:37:07
jimzervos1,857386491441446912,b'Annual Marathon Wreath Ceremony presentation.  Pictured left to right is the Marathon Educational Committee. Tim Ki? https://t.co/2M7x7gWD6X',2018-02-26 23:31:34
Dream_Imagine,58451587,"b""I'm at Junior League of Boston in Boston, MA https://t.co/gwOsZ9kx3h""",2018-02-26 23:21:37
LegiScanMA,104723605,b'H3860 [Passed] Increasing the exemption for residential property in the town of Provincetown https://t.co/qCdwPyFE6R',2018-02-26 23:16:04
tobyjefe,2180303325,"b'2/24 I attended a breakfast bread class @bcae and learned Shencken (philly sticky buns),? https://t.co/5OVZSnLs46'",2018-02-26 23:14:10
edcolemangolf,235174531,b'A beautiful day to roam the stacks of Brattle Book Shop.\n.\n#Boston #books #travel #monday #read #used #reuse? https://t.co/LTtf40Ta2b',2018-02-26 22:53:33
custommirrors,59628173,b'This is a test. I?m trying to link images from Instagram to Twitter  ( as it is now it comes up? https://t.co/eqLR1dgQAL',2018-02-26 22:35:02
MassAGO,22159841,b'HAPPENING NOW: Our #WageTheft clinic is fully staffed with attorneys from our office and legal services partners wh? https://t.co/z1rIkhnMfU',2018-02-26 22:00:47
JQLouise,3333327779,b'Boston ??\n\n.\n.\n.\n.\n.\n#bostonusa #bostonian #travelersjournal #darlingescapes #dametraveler? https://t.co/Lq4psH5vjv',2018-02-26 21:53:41
MassLtGov,253193437,b'It was great to be at @BPLBoston with so many enthusiastic students &amp; teachers to celebrate reading in Massachusett? https://t.co/zYJ9op29FZ',2018-02-26 21:39:16
ChristopherDied,52412239,b'Boston You Never Looked So Good. @ Boston Common https://t.co/xGP8zD6GSI',2018-02-26 21:27:33
michaelprocco,2798911812,"b'wow this is bad content, I?ve gone too far'",2018-02-26 21:20:31
michaelprocco,2798911812,b'How will I ever escape this labyrinth of Starbucks?',2018-02-26 21:18:37
erwinchuk,14517751,"b'One of my favorite coffee ""nooks"" in Boston. ??: Gracenote Coffee Ethiopia Banko Gutiti espresso + Guatemala Finca? https://t.co/wCfWfYa0RM'",2018-02-26 21:18:19
michaelprocco,2798911812,b'Relax. My bad tweeting is only marginally worse then everything else in the world.',2018-02-26 21:17:41
custodianjim,2438083792,"b'Day 29 Mudra of Healing and Transformation ? @ Bay Village, Boston https://t.co/JA7Gc5OGLs'",2018-02-26 20:57:40
BophaMalone,755481063640670209,b'Thanks to the #AsianAmericanCommission &amp; #AsianAmericanCivicAssociation for organizing such a wonderful celebration! https://t.co/NeHCWnfHLU',2018-02-26 20:53:41
Osama_Abdullahh,422982696,b'??? ????? ?\n#boston #massachusettsstatehouse #massachusetts #usa #myshot #myfoto? https://t.co/SJy0dYrP4q',2018-02-26 20:53:35
