OhYeahShowtime,352285835,"b'Sweeney you beautiful man! A chunk of Beleskeys cap gone, Spooner a FA in summer, keeping our young studs AND Range? https://t.co/uVy7hrW3hk'",2018-02-25 17:40:58
echill915edc,2841678672,b'From #Slades to #CarverDen!!! #HeavyHitters #Folkz!!! @ Carver Den https://t.co/PaMMArkhlO',2018-02-25 16:11:09
bpdtennis,2846868105,"b""Great crowd of volunteers for VAV at STEC. Tonight's conversation, should teachers be armed in? https://t.co/aP5Eu3q7qO""",2018-02-24 01:45:59
RealtorDarnell,814978105777553410,b'Home inspection #2 for the week.  This time were in Dorchester at a new condo construction.? https://t.co/hxbYh6s9v2',2018-02-23 19:12:27
Eugethehuge,397622489,b'We learn from our seniors everyday but it is particularly important to learn the lessons from their advocacy and hi? https://t.co/AvDFUlG9Mg',2018-02-22 17:33:03
AgingInBos,1222714789,"b'Honoring black history today and everyday with Mayor @marty_walsh. To older adults in Boston, we celebrate your con? https://t.co/AudE6DpLUx'",2018-02-22 16:41:36
KahnYaDigIt,531433601,b'Every Fri night @stectennis brings together Boston youth &amp; police officers for an amazing community event. Their? https://t.co/HgvlQS67mg',2018-02-20 15:28:31
DJCasperts,175057641,"b""Party #2 #HashtagSunday come thru at Kays....setting up now @ Kay's Oasis Function Hall https://t.co/iU5AQopbub""",2018-02-19 01:45:01
specialt_style,594731685,b'Happy Sunday! Be blessed and stay blessed! ? @ Greater Love Tabernacle https://t.co/fqDjz15aVZ',2018-02-18 17:01:46
SohanDsouza,136451330,b'???\n#Boston #Massachusetts #nature #trees #aspens #outdoors @ Mass Audubon Boston Nature Center https://t.co/hC4Qt6C0pW',2018-02-17 16:36:53
SecularMIT,783629079966867456,b'????? Enjoying the morning majesty of nature at Mass Audubon Boston Nature Center winter bird walk. Cardinals and c? https://t.co/83uvy2pOjB',2018-02-17 14:45:19
