BlueEyedGinja,816092921829195776,b'@Rvss_Rose  https://t.co/e1zuUTOikn',2018-02-27 05:51:19
BlueEyedGinja,816092921829195776,b'@Tata_Broo  https://t.co/l0beKFwivj',2018-02-27 05:48:27
BlueEyedGinja,816092921829195776,b'@LoveTheFro  https://t.co/qwabnprdwB',2018-02-27 05:47:50
BlueEyedGinja,816092921829195776,b'@Ivy_xo1  https://t.co/KRUVCwAKtm',2018-02-27 05:47:17
khemingway,10370452,b'Who can turn the world on with her smile?\n#glamoroustuberculosis #lizology #onelifetoliz #bastie? https://t.co/EB4KX04cEu',2018-02-27 04:36:23
wcstockton,28454627,b'Standing up for single-payer health care tonight in Dorchester! We?ve got to elect a governor that is willing to th? https://t.co/0FvAeHFrH3',2018-02-26 23:57:20
gregbodenair,21667166,b'Pretty stunning Boston sunset view the deck tonight #dorchester #followingboston @ Uphams Corner? https://t.co/bBTSFYCKSy',2018-02-26 22:18:43
MsRichard_SJP,727500065468731392,b'Tonight?s Homework @ Pope John Paul II Catholic Academy https://t.co/v2RDhAjYaA',2018-02-26 20:35:00
MarleneBoyette,19899150,b'This Thursday! Please help spread the word!! Myself and several other practitioners have come? https://t.co/BZiBD0scU7',2018-02-26 13:36:51
thecrystallens,332710261,"b""#SOLDOUT If you didn't get a ticket to the event, you can host a private screening at your business, church, home e? https://t.co/d0rHRfSWQ3""",2018-02-26 12:00:35
BlueEyedGinja,816092921829195776,b'#VideoSoRaw https://t.co/8bJva2HJ5W',2018-02-25 19:48:52
Old_Ironseids,19535526,b'I ?? finding surprises like this when I steal books from themuck . @? https://t.co/VrJ9aqMchF',2018-02-25 19:34:02
iecmancometh,22175219,b'Celebrating Manchester City?s 3-nil Carabao Cup final win over? https://t.co/uWcS544thj',2018-02-25 18:31:50
FrJMHairston,557502294,"b'Holy Eucharist / Mass at St. Mary?s Dorchester. It?s really hard to get to Mass, but not? https://t.co/TXY8Sxm3FY'",2018-02-25 16:24:30
dal7asawi,68614347,"b'another day, another apartment.\nFOUR new additions to our inventory? https://t.co/boGShqcRva'",2018-02-25 15:19:53
BlueEyedGinja,816092921829195776,b'@universalhub I pulled out my cam when I heard the roar approach Everett Square this afternoon @universalhub https://t.co/uSMKZRNmgy',2018-02-25 02:42:21
PeggyONeilsDot,2976818601,b'Come Celebrate the end of February ? with us! DJ @steviepsyclone will be turning out those? https://t.co/tURXSU0XnV',2018-02-24 20:47:04
PeggyONeilsDot,2976818601,b'Come Celebrate the end of February ? with us! DJ @steviepsyclone will be turning out those? https://t.co/d3euHoqkOz',2018-02-24 20:46:51
kuntmissioner,16599414,b'#Dorchester #ClappPear https://t.co/XRZXiBNAYM',2018-02-24 19:29:53
SeanGarren,306397840,"b""The love hasn't faded at all. #averytablegenius @ Uphams Corner /? https://t.co/xPgSPzTvga""",2018-02-24 15:22:39
ENIGMUE,55633313,"b""I'm at Upham's Corner in Dorchester (Boston), MA https://t.co/bW9raTjVkp""",2018-02-24 04:48:05
Maddievation,31645399,b'Tonight @thisistheplug will be hosting #UNPLUGGED with the incredible @LisaLopes__ in Boston!? https://t.co/cZE8mMJbZI',2018-02-23 23:34:44
_Magdelina,1551195786,"b""I'm at Malibu Beach in Dorchester, MA https://t.co/NPfRoQlkNP""",2018-02-23 18:52:52
yahomied,1151298290,"b""Off... @ PEGGY ONEIL'S PUB AND GRILLE https://t.co/VCvM0DVWaJ""",2018-02-23 14:17:57
supremeparma1,731979898319933440,"b'@PatriotsCulture Definitely top 5, I?d say off the top of my head it?s in my top 3. #TheWire'",2018-02-22 21:02:28
supremeparma1,731979898319933440,b'Michael B. Jordan started acting in 1999 in the movie Black and White. He also won many awards for his true life po? https://t.co/88AR5rcWRp',2018-02-22 20:50:00
PeggyONeilsDot,2976818601,b'Join us every Thursday night for RuPauls ALLSTARS! Startender Luis will be serving up a whole? https://t.co/RKTVRTHk8Z',2018-02-22 20:42:45
supremeparma1,731979898319933440,b'@fsublooded @JorgeLorie19 @TalentEvaluator Who cares? Wasn?t talking to you anyways talking to a UF fan. I?m litera? https://t.co/XZ26odf0MZ',2018-02-22 20:26:30
PeggyONeilsDot,2976818601,b'#sohotsaturdae boys ? #dorchester #peggyoneilsdorchester #fun #love #bostonnightlife #instagood? https://t.co/nHSrwlxRcU',2018-02-22 18:25:47
BowdoinGenMS,2657514416,b'Facing the digital divide at Boston?s cash-only shops  https://t.co/MhbTJTDPEs',2018-02-22 18:13:04
luluster12,2335096299,b'This was done while at breakfast with the team! @geomakesmoney shaq617 sitting right in front of? https://t.co/BSjTh0cJIb',2018-02-22 16:21:01
philipshannon,23367744,b'@JohnnyDice720 @justlippe @alphalima121 @Peter_the_Gr8 @CathieBriggette @ThisisKenL @ApparentlyKen Yeah I counted 4? https://t.co/O6nzdzy8VD',2018-02-22 12:10:50
bpsparentuniv,956622934570864642,b'Boston Little Coder Academy @ BPS Parent U w/ BPS Technology &amp; Timothy Smith Network https://t.co/Vm8kpo52ca',2018-02-22 00:54:47
TotalTrafficBOS,249393984,b'Accident in #Dorchester on Expwy SB at Savin Hl #traffic https://t.co/AoTr5OKtFq',2018-02-21 20:05:09
JonathanNgBOS,954430236,"b'Shortage of busses, growing crowds at JFK station. #RedLine #MBTA https://t.co/muwpLIIPhY'",2018-02-21 15:55:41
PatriceCareerMA,3616724715,b'When the #mbta #RedLine goes down and you have a candidate that needs to get to an #interview... You order them an? https://t.co/iG9fjp1WLc',2018-02-21 15:33:48
mitchisalive,62718940,"b'The #MBTA #RedLine is ?% broken today. Thanks, @MassGovernor. https://t.co/jPvBEJA8uR'",2018-02-21 14:52:12
PaulTuminaro,20575521,"b""I'm at dbar in Dorchester, MA https://t.co/jbRelETduZ""",2018-02-21 02:46:07
supremeparma1,731979898319933440,b'@BigOx55 @Ncaa16Rosters I?m 6 feet have a full head of hair and have no idea what you?re talking about editing rosters?',2018-02-20 18:39:03
supremeparma1,731979898319933440,b'@BigOx55 @Ncaa16Rosters Get lost she came at us sensitive ass.',2018-02-20 18:19:01
PeggyONeilsDot,2976818601,b'Come Celebrate the end of February ? with us! DJ @steviepsyclone will be turning out those? https://t.co/tURXSUiyMv',2018-02-20 17:36:12
stevens_dan,33279960,b'TWO Boston dates. Huzzah! https://t.co/lFrG6CvNQt',2018-02-20 13:59:55
supremeparma1,731979898319933440,b'@Dchabs4life Those been our two best recruiters by FAR. Kool landed what? 3-4 Guys in 3 years of recruiting and one? https://t.co/plvA5ckRqm',2018-02-20 05:15:59
supremeparma1,731979898319933440,"b'@Dchabs4life Fuck Kool. Perfect job for him at Bama, doesn?t have to recruit just develop. Not a perfect fit here,? https://t.co/VR4BjoawEe'",2018-02-20 05:12:26
